,lon,lat,year,month,"('prec',)","('temp',)"
7833,-45.25,-23.25,1987,10,0.3677477799207365,-0.9445073048120393
13502,-40.75,-7.75,1984,3,1.3373374490164616,0.23653785815408485
23735,-39.5,-8.25,1986,12,-0.7174302580969901,1.4059551812046418
26167,-39.25,-8.25,1985,8,-0.8417287434714473,0.37037507597401625
11734,-44.75,-22.75,2006,11,1.7499920249463372,-0.7809033370695871
18094,-40.25,-7.75,1992,11,-0.7830123113860689,1.133260224079999
11419,-44.75,-23.0,2014,8,-0.5574715312465962,-1.3421950377626926
10168,-45.0,-23.0,2012,5,-0.4420881062411231,-1.4460652050620182
14165,-40.75,-7.5,2005,6,-0.849311668382997,0.4711210742043142
13381,-40.75,-8.0,2008,2,0.085540006861169,0.7050313591811069
6173,-45.5,-23.0,1985,6,-0.6570742746793846,-2.2276745571304306
11864,-44.75,-22.5,1983,9,2.203737856140151,-1.5723898498000353
15772,-40.5,-8.0,2003,5,-0.421081354796965,0.7697796711940929
10208,-45.0,-22.75,1981,9,-0.554089956623878,-0.9443616316497699
17062,-40.25,-8.5,2008,11,-0.8922474188956908,1.8854748130509302
7894,-45.25,-23.25,1992,11,2.359187816826921,-0.9270239240352119
27049,-39.25,-7.75,1991,2,0.30595718908743247,0.050431102995648555
19461,-40.0,-8.5,2004,10,-0.8078105252860018,1.5404947517711614
6515,-45.5,-23.0,2013,12,0.6592805011823448,-0.2885878787032502
25779,-39.25,-8.5,1987,4,-0.5498886063350464,0.7800548317458741
22534,-39.75,-7.5,1988,11,-0.4767236281344178,1.1001169783609748
6279,-45.5,-23.0,1994,4,0.0636110077926334,-0.9238789445144282
5473,-45.5,-23.5,1995,2,3.11245918202695,0.09605058615425575
3737,-45.75,-23.5,1986,6,-0.5872908711014743,-1.4858625927282443
11405,-44.75,-23.0,2013,6,-0.5989726743435915,-1.305147231034004
11259,-44.75,-23.0,2001,4,-0.04439443621781839,-0.532691876429305
24831,-39.5,-7.75,2010,4,1.2773913534319128,0.18170231779170162
10956,-45.0,-22.5,2010,1,1.4177779362538476,-0.2735263142488854
23936,-39.5,-8.25,2003,9,-0.873597522491609,1.0714896006717773
2053,-46.0,-23.5,1982,2,1.5647227244046895,-0.07605928212597979
14506,-40.75,-7.25,1999,11,-0.6873035023673195,1.3598600305774462
14526,-40.75,-7.25,2001,7,-0.8624280790408128,0.6824538130363599
10733,-45.0,-22.5,1991,6,-0.5602382741197293,-1.885758834870921
22896,-39.75,-7.25,1985,1,1.3717680269932282,0.3880899730265642
1432,-46.25,-23.25,1998,5,0.19877152074309432,-1.660204753573918
26093,-39.25,-8.5,2013,6,-0.8563822335032258,0.8042469819057452
3525,-46.0,-22.75,2002,10,-0.24585430616520743,0.039332814754095106
17271,-40.25,-8.25,1992,4,0.16475083059938458,0.5615997158022334
22920,-39.75,-7.25,1987,1,-0.16889786550880406,0.8126231887352733
21743,-39.75,-8.0,1990,12,-0.5887254785171728,1.5234041682711283
26722,-39.25,-8.0,1997,11,-0.38572852919582096,1.4434035891295522
6350,-45.5,-23.0,2000,3,0.5806845091937142,-0.5788936806217087
16543,-40.5,-7.5,1999,8,-0.905056413678714,0.40377585103344465
12600,-40.75,-8.5,2011,1,-0.34135817126742857,0.722409880397184
205,-46.5,-23.5,1998,2,2.074828132643806,0.19299198786631613
25540,-39.5,-7.25,2001,5,-0.5063380240727675,0.9527815812744058
15102,-40.5,-8.25,1981,7,-0.9162258571295103,0.29779862549440145
12894,-40.75,-8.25,2001,7,-0.8754420177403643,0.5011687652254453
9074,-45.25,-22.5,1989,3,1.6966041346906966,-0.588414462297535
25187,-39.5,-7.5,2005,12,0.3697972190860202,0.45988603156554125
25318,-39.5,-7.25,1982,11,-0.7247057671337472,1.536462726744508
20810,-40.0,-7.25,1981,3,2.8647844589024136,0.4970326879400603
21955,-39.75,-8.0,2008,8,-0.9024946147221093,0.5881044274128607
17218,-40.25,-8.25,1987,11,-0.730136780921749,1.8799912590146843
15535,-40.5,-8.0,1983,8,-0.9135615862146416,0.771964768627884
20639,-40.0,-7.5,2000,12,0.22008568806204493,0.6133891262896394
23935,-39.5,-8.25,2003,8,-0.8932721384783328,0.8180078931257138
6774,-45.5,-22.75,2001,7,-0.6962185627363036,-1.9515250650152105
25332,-39.5,-7.25,1984,1,-0.08733018673051217,1.0004635288475845
22716,-39.75,-7.5,2004,1,3.514354202339087,0.37482331003567204
18895,-40.25,-7.25,1991,8,-0.9190950719609075,0.5807687431708496
11340,-44.75,-23.0,2008,1,1.8647606182022252,-0.48064233529501993
9256,-45.25,-22.5,2004,5,0.03901773780922878,-1.6310961341879984
21449,-39.75,-8.5,2000,6,-0.830559300020651,0.6994949717135014
857,-46.25,-23.5,1984,6,-0.8408064958470696,-1.2297483630357298
22049,-39.75,-7.75,1982,6,-0.8632478547069262,0.21645837352139186
10128,-45.0,-23.0,2009,1,1.7190454935505532,-0.327841593317511
13386,-40.75,-8.0,2008,7,-0.7855741103426735,0.2555794215057367
21452,-39.75,-8.5,2000,9,-0.8807705595701021,1.0796342912256083
16938,-40.25,-8.5,1998,7,-0.8499265001325822,0.6691871500454669
