,Yobs,Yest_rf,Yest_sw,Yest_ann
6624,79.2611843482681,79.33967840177581,82.59688657507489,82.67729015870748
856,75.544060614413,75.9940875117475,71.57871036026633,70.71499681920716
5864,75.6751722566809,78.27879817011348,75.54001669925317,76.04780731451967
6167,90.6371580823327,89.21052025095932,93.7154281888815,93.33901587182311
2885,83.2741421082819,86.53217204108887,85.69299355566133,86.5167508873161
11436,80.6336706286497,83.34945742402553,84.9037974173943,85.18797273628991
222,56.2954945614939,55.05798273084919,60.17660630369138,60.96542163350716
8318,84.0456408086591,83.57982962251829,87.47203348082888,86.87079213619847
9918,75.039323746794,76.47834271800217,78.26399402770186,77.16253628390689
749,86.7712923256323,86.52649883967196,86.5412835034718,87.67713629508455
6631,90.7609012251596,92.04754101231309,91.04269748451313,91.21707246560857
11780,91.5610249578752,91.07879867587302,90.70398428336121,90.40850202088643
2354,56.2079824632939,58.3013893093656,54.85537990468925,55.215365822016906
2854,40.3514295665794,41.395011923226846,37.93304967916768,38.66964161946146
7304,76.4107335755679,75.7075100269211,75.8857417699246,74.79609034134921
10815,57.1882368492982,60.72450898306353,65.41955632065542,64.74594355640704
1124,51.4679812730174,56.15055574920261,62.83103697819248,63.57661401911503
9651,49.8240867135888,49.511540591248874,51.91927960510393,51.930325941445176
2975,52.7405022391459,59.691340255393754,69.3226716586982,70.59209967929439
10045,73.919092250429,72.13211575435386,77.42711315549094,76.96922540394792
2835,84.5899881612527,86.4610634818163,87.51435446294532,87.87625448676465
4688,88.6639162495512,88.79284806488229,93.38096767805835,94.48806557236924
9569,55.5282177751968,56.76213998692645,57.86678227318914,57.38157585945976
490,61.7562782799202,64.79391279851839,66.93252763688398,66.6653101888379
8480,51.0305920196247,51.45605653939486,54.105282593259126,54.612651340308844
1522,100.083892786645,100.09390060802498,105.35263697555065,106.02881497245937
8380,68.4698142262341,67.87791799053254,74.51867577505176,74.28822602012508
7520,102.195609371032,100.54945341442648,97.38341692072565,97.32396832571123
12029,84.6200185917497,84.23128318573957,95.17937078337758,93.63292725636268
8949,95.426531593701,94.83497360595996,100.30635369699569,101.45875226996225
9163,54.3487609678391,56.2197223350284,59.19430836215823,58.974691299583014
10809,113.55949538322,110.79266433109184,109.02773623733265,108.0972301095054
6938,89.8401893118128,88.12500644240961,87.39262875152755,86.7166942631444
5253,58.8802894342556,57.658031794898335,50.13746037031945,49.9162782901127
573,75.5858641341379,75.76761580430076,74.94456689078375,75.15008319722267
7119,114.949112185198,114.45660055000387,107.07418187896815,107.35906337399149
10964,127.6773881499,130.08125549712852,117.04161506363417,116.8298841803495
35,98.1348122082385,97.19656333782392,90.8826810807334,90.53900697423308
9831,80.4520141716593,78.92662439260594,78.68706284939702,77.08962512321534
394,80.9242914850219,79.17094423055636,77.6248826942442,79.41346278000776
17,44.6144558507223,46.988563964405245,47.73888515203554,47.41957642694672
8791,111.707701062955,114.58673074773502,104.91462608750342,105.03778122172264
11021,82.6670676360219,87.8461662378978,85.21420889492776,85.64122993731382
8060,85.0774755394216,83.20726318121294,82.20972403512143,82.76832862547838
1432,55.9185080249328,56.16522583705282,57.25742087131175,57.517988549315874
7156,110.657042982591,110.08850527716106,107.97678825622324,108.526637787205
3357,70.4529840762138,69.79677516784616,76.21859229139531,77.5244437040925
3369,68.0707660049225,70.66316759608861,75.24351274295584,76.6600630752688
8168,47.2548233018683,46.37769550198018,44.77389751387029,43.51849684159845
3006,47.9347856446854,51.40999965717998,54.271454133250906,53.62747491382754
4161,39.6979130664007,39.67959635829085,37.667556078352796,38.58435721618764
1070,96.4619053585688,98.08300891513788,98.89159352782745,99.26566731801006
7874,74.452744826827,73.85223579312604,79.01388432045863,78.47321296522398
1777,80.0463465701753,78.9415385767756,79.6285602238422,79.1863329438371
8357,38.4993841014977,39.35938414475993,30.2488583174638,30.15758246598091
6202,75.4959631865279,72.93893158969999,79.4868279984446,79.30381577357286
9048,77.5065396867845,76.8131579496987,75.4814880344011,74.51159321177386
2517,83.5302721650696,82.18715186716031,83.82607637975819,85.06229290041631
11998,47.8474780104461,44.94243563438844,47.16160808713388,45.5428209437415
5345,46.6572490445296,46.93936586893262,50.80268394457539,51.09706877683186
822,109.627824441578,110.89353582512828,104.90969390168176,106.40890085204921
223,59.2597919748911,58.33246429901889,62.613413382448435,63.414309596806675
11486,107.524626791936,106.73913061678309,99.9067363209479,100.31377795124547
4974,92.7701543492826,99.22369688304748,97.77111030594071,98.30538952459813
10610,85.3840019714043,83.25728731768967,87.76317237138926,87.99387893664118
11258,93.2370855787736,96.29304296635802,96.2311975491393,95.48930320509919
4760,70.9193614560973,76.5865279281296,79.8470538404162,79.28735952272075
8430,39.9487626853039,42.353555482782426,41.1379823632111,41.412142577917734
5065,71.5993620578266,73.65833275517438,78.60306046720886,79.75431591263361
7036,114.868633125793,112.35973050497836,106.70122290523231,106.50624301810888
9464,84.629131667822,85.10902053858933,87.6947898510766,86.57965656342742
372,109.435218180178,109.19064347131791,114.95586501917526,116.65082456309949
2072,55.80558995678,52.58640764943413,55.88578950030829,57.240014611307856
11993,79.9366020634343,80.19933492139027,82.40522465327949,80.59173190613285
10826,57.9009490123149,58.797484221189514,64.43524447316202,63.78420718342261
2206,86.3110510401977,87.20667010368535,81.78514703696622,81.22524589031002
1892,54.1125679938033,53.24398693403535,59.697639400823,60.04094326993038
4171,39.4641555966131,40.261807070941906,32.08214747931713,33.08231667672328
4661,61.1825258388848,62.49477789572144,71.03630562461474,72.033578736619
11830,76.1169251742726,78.96501997009891,84.22024572490676,84.1919231889193
4597,56.9677928914029,56.776125823767515,54.68397332425448,55.38579974002562
6214,72.4774734891603,71.25532710251146,77.75536432576192,77.66717373272297
5129,41.3177544654639,41.08836374637726,38.43650198796756,37.53725597163759
3023,91.7209812001144,89.59164792503769,87.8693379420326,87.18184359200598
7439,99.8913850786988,99.90344499758628,98.24848099224945,97.83349743789006
6869,93.7436355436146,94.59346418842243,97.15875026334788,96.04025535808398
10338,34.8147636458404,35.36190773913221,28.31264982902113,27.233266694797862
10944,61.845498117012,66.62480005739253,74.90540810819277,74.85159826095207
3894,65.0034928190788,63.340403292982685,64.08500564270877,63.315650955585284
4369,65.6070982072998,63.14413750115917,64.777527253953,64.10520488911209
3749,76.9701372794927,76.10661092541865,77.53530309381408,78.53029378963276
3019,40.3436994071508,43.82396459352645,41.46401158930958,40.99528559591374
1288,69.5982619507177,65.59761996551616,71.90620509298999,71.24462847766165
112,45.1701593182341,46.388374131846476,42.400401067270195,42.74434730415271
5739,75.6196565047121,74.9363701086878,79.65175640868712,79.4037638711003
2981,117.033978782483,115.85644757874806,117.71728872293005,118.88381072525374
8315,83.1893381278737,81.31151785823852,83.10985860008543,82.54239331940528
5477,46.8934277918192,46.13329476628406,47.58765521409461,48.64876746353741
1505,70.2948989530458,67.91961962136939,74.48184177931871,75.07838201853576
3911,54.1797509917943,55.437453425954914,58.352890626996,57.77381904370861
3472,52.6890179379495,53.52625805049527,54.298946669825035,53.82871607967229
8927,74.5158369949062,72.72809782764776,74.246906743026,75.28933694535738
4226,96.8739393317085,95.72923450950752,96.1368880180146,97.29571055378494
8649,120.126484425511,122.34813902909973,120.2997911812437,119.51293182875145
7353,96.4136861557812,93.31270259926534,95.8657486656187,94.9490778047417
