,etp
9317,32.0906893608802
3404,55.1345973755554
8908,51.3571789166574
1379,103.898714802995
8417,50.1261050413363
10942,79.8900404765739
3990,43.4362340654161
5362,90.4347628465858
5000,55.4985356992021
4581,74.2106660485341
7831,44.5222532483358
12029,38.0692232733887
527,103.3107649922
6916,50.9925301494474
7377,74.8293131409223
2844,117.133475707966
4747,66.4449434087711
1641,71.3472843318026
9728,70.8621489997791
4117,103.563805930908
3112,55.5173459992098
1098,41.0701655058729
6893,33.9368210896897
3579,73.5889736939684
10602,38.7841980643964
1303,43.0031188521049
9760,49.9630283438539
4517,44.8160270104404
2932,50.6299440343967
6763,46.5940805510062
2652,114.304043055465
6700,51.2827480812898
5408,57.1234362407557
4204,51.4405757944221
11098,83.286072086207
2833,95.397678548294
12046,75.8443167581789
7863,84.6334346524029
9880,58.7605264948696
3205,99.27029552383
3909,101.147517863496
4907,91.6056340653253
4839,65.3481789237503
3067,62.8261483332081
3655,46.3154919568417
11928,95.2850437876091
4679,104.175942701339
8878,81.0946714899557
11949,77.4615913644023
8632,59.2303714203098
2655,73.5424436740082
11585,35.5233895257901
9914,88.8550691541356
2585,47.2898183966627
9397,92.1123631653525
8273,40.4983834100035
4295,105.721359591834
10029,94.9685838073125
4545,85.6118484559774
9444,107.248196905456
9124,46.744371827975
4173,74.226649472474
10672,59.2847059192731
12173,32.0906893608802
10055,102.918880816097
2951,103.276956542788
10447,50.3323084243032
11884,50.6878524369679
10706,91.6499934525658
10152,110.601063342725
4648,60.6370638078024
9447,75.9072453957964
4399,51.1588608537509
4967,91.2861290230013
5853,76.862906834312
9726,44.8122238930974
11486,89.7416546589836
11921,34.3439843058447
4119,66.3654493679238
9931,45.8068368588211
10979,94.2988970509793
6445,90.1585986582098
4738,92.3662089048844
6363,79.5551189183048
255,83.7919187992131
1008,105.674854490385
4703,105.593352059545
5231,88.0195819453323
2042,93.6512492964134
1494,43.6381363333091
8149,113.691663175082
706,82.4229479370149
4567,43.3281297039577
12064,45.6356021925281
7968,112.695038589489
7783,45.8791232217414
4177,93.5960770921242
11810,87.0406348142748
6624,93.3944365526805
3888,120.679784685871
9433,94.5706246112673
8446,85.3100653182215
7611,94.1700284152935
3846,51.3775009481633
3344,56.7251676239063
5037,75.1827867213118
9055,43.9168684976939
6504,93.861768684029
6294,46.093467129829
5282,86.8364314412232
10435,48.3067380295164
186,33.9735289304993
4092,86.4333945988577
5180,71.1250241451229
21,76.7511387650034
11284,49.4715975706524
8545,97.3841227859273
1972,54.7422024985181
7579,55.3595563357461
9405,75.8800707678404
2023,48.562753030251
7039,43.6035401680056
9763,52.2033519170528
11450,83.5261450306152
3521,44.9907436013684
4732,51.4305181506128
1079,109.165321094505
4320,104.22098841846
5484,120.288759640453
6229,96.0108802399784
925,98.2871520705862
4859,100.187985273402
6371,95.7346236961161
7432,70.9285133786906
9551,106.508992924319
2754,45.0674199007025
7155,67.4675331069357
11848,46.7549298527309
8816,57.284986617103
1392,109.708694468375
3790,105.506753986833
4869,101.11481652483
3533,45.388465216601
4968,98.3477280429239
3907,51.2533903878486
11799,71.6062864595599
8199,67.3926589148391
4365,77.0881979348354
1882,91.1793751645523
8919,63.0845383163202
11236,47.8113223714384
3178,82.797884742098
3435,65.3122095080983
4315,51.2183207955044
3571,53.3827524310756
7927,57.6905308576223
6017,42.8026756414462
5684,71.6357455183769
1202,93.9861536831734
6463,49.5638915446259
9720,98.6537808022811
564,94.6746119608498
9318,43.3120164410426
11538,35.7737789537342
7940,51.8726690612478
958,79.2177536120758
4329,76.6847046075884
6307,46.8593363781552
11923,43.2084037054326
6722,75.9318387737171
1169,38.9039257575148
7254,35.7207088979859
5558,113.795958036193
9023,88.5778001721472
6239,105.419667703995
4815,73.3586010666367
5959,56.287625772813
751,49.5957173213197
8075,100.833039490766
10708,46.3658638377286
412,56.2653021711303
3725,38.2209475742839
8017,104.971072900365
9797,40.6682082292056
8143,52.1126797499074
5417,41.7122553856817
6148,63.5858274466067
5933,40.7137235290622
791,117.637210587522
4287,74.7870634097415
3818,102.401985537273
1036,49.3313853270654
7640,63.8546169489258
1773,77.2940057160767
9392,71.9471630308601
4006,83.5206380690787
3433,88.1951483048454
1162,111.337200413803
10545,78.6112965468404
10901,43.1177031540646
7437,74.3241982807883
2304,109.643052130424
5167,41.6264441957593
6636,101.629978926391
11792,59.3523611014138
11001,74.6009700740957
12001,89.0249749669074
7886,93.2623195523499
2205,92.0040094681174
1879,56.6181185882048
5752,67.4451324873896
12211,47.3521000720614
2098,90.5688710162764
7962,42.8471578947923
7002,33.9031112295851
325,94.6247942768503
8777,33.0377735063287
1386,39.5258388602783
4446,45.7403546026164
8508,111.340975314176
3732,124.117462793061
2314,87.5681603200293
1302,46.2777556259939
2242,97.0999589936208
3388,49.3968606425556
11861,45.7977183922483
6712,48.25702643829
2339,94.0086920925821
9467,101.980072089462
7950,45.1489969432826
496,54.9266269058716
2008,46.6953359831438
5458,107.085680984856
8214,36.4334432550697
8245,88.2724987183197
3761,38.2030183776717
111,87.7723430144734
374,93.8717246014703
8059,57.518338557405
11395,52.265814997553
1342,102.573914350203
10110,40.3329743431169
8308,51.4032188450293
4009,104.328864600065
3810,42.8222520079009
602,78.1434933952165
8708,54.3359891165971
10443,74.5421250383216
12015,66.4452225920042
90,29.8098303144633
6960,91.0327834211406
8439,77.6127394464267
9398,84.7828643322662
7003,50.5201980914917
8851,45.8257987521482
283,48.5462688214553
6526,92.4899607222341
11637,71.1142740627873
4019,109.718762733038
4145,37.3299597771076
10160,58.7104897842069
3396,96.8681107676799
9535,44.1854608965502
169,99.7837388267768
6098,89.1119077611275
4312,50.3387793786122
8943,71.6062864595599
10227,69.1245215995138
7921,95.8244964132987
10857,75.0420787048732
5163,69.3896428763864
5155,57.224472111012
5376,117.70841889109
9264,96.089094515287
12012,104.663689911687
433,92.6294045808223
11353,95.9021077916162
9989,43.0457267275781
1483,64.096787688328
6560,53.1817583541203
8371,60.4026501261263
9601,100.52259495605
5645,37.7233689036897
9592,50.2662379816962
9540,94.5599224400633
2999,89.9936636289736
12119,93.9102537072211
2126,95.519908188313
1423,48.5070656608381
1690,93.1038164750235
4499,95.2438317698141
4442,87.5263267862441
4268,54.0419208195107
9488,55.8353599506299
3513,74.9881792954043
12213,94.3895713002949
2394,48.2777892203992
9683,89.6950403902012
9795,64.0844596690027
6547,53.2474761606635
6183,74.4064269167588
11487,70.7857724979316
11685,99.0230148209362
2688,103.777135474822
2822,90.2480878917439
7459,48.8949293068294
2168,51.4255924446875
810,39.9238712109757
11043,71.2209752946317
1995,72.5967960519213
1383,67.9263914976818
10721,37.6284216348018
7378,97.8319368774666
2261,41.7235678433853
4250,90.5570328263856
8564,71.4547726675935
7864,50.9929249880546
1149,83.7610728866336
4659,66.9065086044971
6598,85.5443453269074
101,42.199345505922
7902,44.7222576757596
6562,81.6607357941131
298,83.9731028124455
6089,46.4976895129539
2567,103.3107649922
5881,94.6792527275242
5603,95.8392672776397
6710,90.7609322178439
9870,49.4667730787224
11638,75.9068131857024
4893,90.7390000243492
2774,87.6278785128722
11953,86.6036962908286
5411,103.03859906152
9867,79.2168482130967
9527,86.8722782965897
8852,72.1743558785566
9249,76.9710872114644
7930,80.1356590288909
25,98.8931434352914
9602,96.3690961066657
2064,106.348683765684
9596,64.3719111379586
11126,100.567627080316
823,49.1249847033589
12141,74.7431813230464
8270,100.567627080316
1745,37.2818374977295
7893,75.1614348783222
8903,86.4721188641405
7123,42.4101357527367
12010,78.6349655089298
4327,56.287625772813
4135,55.8977042276478
2584,60.8993806221562
6280,60.6370638078024
10554,43.6227972230319
7480,80.5055575351061
3490,73.2694169150642
1155,70.0984849956412
9084,103.153982503127
8469,72.232051673953
2570,86.5164387515136
6498,40.4817464427594
726,37.4432660384758
46,89.5755000493999
8585,48.5796835014709
10334,84.5484754797447
8586,43.7189204181781
8906,91.7777280758106
2615,106.441513680247
5465,41.2451087624668
2933,35.8411406923891
8440,54.5716730992725
4765,84.743511236705
10951,47.021073542207
8948,67.5286306351499
