"","station","month","prec","temp","etp","etr","def","exc","wb"
"295","-49.25_-18",7,7.28529411764706,20.6159867172676,63.0015150046446,23.6238511495185,39.377663855126,0,-39.377663855126
"296","-49.25_-18",8,14.6826470588235,23.1044592030361,89.1336619724314,26.1861348725489,62.9475270998824,0,-62.9475270998824
"297","-49.25_-18",9,50.8702941176471,25.9280392156863,124.716802110267,56.3041003094568,68.4127018008104,0,-68.4127018008104
"298","-49.25_-18",10,105.737941176471,26.4943168880455,143.157791500852,107.290226854917,35.8675646459342,0,-35.8675646459342
"299","-49.25_-18",11,180.282352941176,25.2026862745098,125.137613089499,125.137613089499,0,0,0
"300","-49.25_-18",12,246.034117647059,24.172789373814,117.87270878742,117.87270878742,0,86.7265932587338,86.7265932587338
"301","-49.25_-17.75",1,255.442058823529,23.6866318785579,108.404983048903,108.404983048903,0,147.037075774627,147.037075774627
"302","-49.25_-17.75",2,186.024117647059,23.6866085917125,99.1905719704061,99.1905719704061,0,86.8335456766527,86.8335456766527
"303","-49.25_-17.75",3,209.823235294118,23.5174573055028,104.154863202094,104.154863202094,0,105.668372092024,105.668372092024
"304","-49.25_-17.75",4,82.9167647058824,22.7593725490196,88.0076227953394,87.8802098929352,0.127412902404188,0,-0.127412902404188
"305","-49.25_-17.75",5,29.9505882352941,20.9397628083491,69.0243712009282,60.6894485352596,8.33492266566861,0,-8.33492266566861
"306","-49.25_-17.75",6,11.5735294117647,20.0320294117647,57.1665815530431,35.1156239057396,22.0509576473035,0,-22.0509576473035
"307","-49.25_-17.75",7,6.63794117647059,20.5955882352941,63.4857983548044,24.3101195487954,39.175678806009,0,-39.175678806009
"308","-49.25_-17.75",8,15.0832352941176,23.1284060721063,89.9294676274352,27.2460411600232,62.683426467412,0,-62.683426467412
"309","-49.25_-17.75",9,54.5473529411765,25.9165098039216,124.710688865779,60.0538019223283,64.6568869434512,0,-64.6568869434512
"310","-49.25_-17.75",10,111.726176470588,26.296935483871,140.148903655192,113.065665259415,27.0832383957767,0,-27.0832383957767
"311","-49.25_-17.75",11,191.959411764706,24.8964901960784,121.031066362998,121.031066362998,0,0,0
"312","-49.25_-17.75",12,252.710588235294,23.9124667931689,114.582275694146,114.582275694146,0,113.131335953654,113.131335953654
"313","-49.25_-17.5",1,255.442058823529,23.6866318785579,108.274234027359,108.274234027359,0,147.167824796171,147.167824796171
"314","-49.25_-17.5",2,186.024117647059,23.6866085917125,99.0987843512748,99.0987843512748,0,86.9253332957841,86.9253332957841
"315","-49.25_-17.5",3,209.823235294118,23.5174573055028,104.107701991587,104.107701991587,0,105.71553330253,105.71553330253
"316","-49.25_-17.5",4,82.9167647058824,22.7593725490196,88.0248688447095,87.896598530861,0.128270313848518,0,-0.128270313848518
"317","-49.25_-17.5",5,29.9505882352941,20.9397628083491,69.0825835416528,60.721559601632,8.36102394002083,0,-8.36102394002083
"318","-49.25_-17.5",6,11.5735294117647,20.0320294117647,57.2437760818232,35.1292913524178,22.1144847294054,0,-22.1144847294054
"319","-49.25_-17.5",7,6.63794117647059,20.5955882352941,63.5777826311667,24.3043540153036,39.2734286158631,0,-39.2734286158631
"320","-49.25_-17.5",8,15.0832352941176,23.1284060721063,90.0267485216139,27.2269153407049,62.799833180909,0,-62.799833180909
"321","-49.25_-17.5",9,54.5473529411765,25.9165098039216,124.766680259885,60.0380268023239,64.7286534575611,0,-64.7286534575611
"322","-49.25_-17.5",10,111.726176470588,26.296935483871,140.120679780991,113.059200269972,27.0614795110189,0,-27.0614795110189
"323","-49.25_-17.5",11,191.959411764706,24.8964901960784,120.936334653206,120.936334653206,0,0,0
"324","-49.25_-17.5",12,252.710588235294,23.9124667931689,114.450595278475,114.450595278475,0,113.342712390397,113.342712390397
"325","-49.25_-17.25",1,257.299117647059,23.4615559772296,105.638118669071,105.638118669071,0,151.660998977988,151.660998977988
"326","-49.25_-17.25",2,193.903823529412,23.4911713995943,97.0534709321267,97.0534709321267,0,96.8503525972851,96.8503525972851
"327","-49.25_-17.25",3,220.736470588235,23.3585294117647,102.455760625667,102.455760625667,0,118.280709962568,118.280709962568
