"","station","month","prec","temp","etp","etr","def","exc","wb"
"166","-45.5_-23.5",10,128.754117647059,20.3074383301708,79.7163410019986,79.7163410019986,0,49.0377766450602,49.0377766450602
"167","-45.5_-23.5",11,147.183235294118,21.329,90.6602422422589,90.6602422422589,0,56.5229930518588,56.5229930518588
"168","-45.5_-23.5",12,199.484117647059,22.3776375711575,107.736841653416,107.736841653416,0,91.7472759936424,91.7472759936424
"169","-45.5_-23.25",1,253.568529411765,21.8556261859583,102.45047244327,102.45047244327,0,151.118056968495,151.118056968495
"170","-45.5_-23.25",2,201.142941176471,21.9796732831063,94.2283142207167,94.2283142207167,0,106.914626955754,106.914626955754
"171","-45.5_-23.25",3,183.748529411765,21.0545920303605,91.5478380860569,91.5478380860569,0,92.2006913257078,92.2006913257078
"172","-45.5_-23.25",4,96.9123529411765,19.4588823529412,71.2305676267192,71.2305676267192,0,25.6817853144573,25.6817853144573
"173","-45.5_-23.25",5,74.4544117647059,16.9085104364326,52.3160999253618,52.3160999253618,0,22.1383118393441,22.1383118393441
"174","-45.5_-23.25",6,47.4061764705882,15.7304019607843,41.8871872760913,41.8871872760913,0,5.51898919449698,5.51898919449698
"175","-45.5_-23.25",7,48.7991176470588,15.4051328273245,41.1467877423183,41.1467877423183,0,7.65232990474049,7.65232990474049
"176","-45.5_-23.25",8,36.3532352941176,16.9740037950664,51.6634574300938,50.5490345833564,1.11442284673747,0,-1.11442284673747
"177","-45.5_-23.25",9,111.814117647059,18.5614901960784,63.2999169910917,63.2999169910917,0,34.3184013667283,34.3184013667283
"178","-45.5_-23.25",10,127.383529411765,20.0729222011385,81.2270102894058,81.2270102894058,0,46.1565191223589,46.1565191223589
"179","-45.5_-23.25",11,154.344705882353,20.7171078431373,88.3729218279945,88.3729218279945,0,65.9717840543584,65.9717840543584
"180","-45.5_-23.25",12,212.837941176471,21.413330170778,101.028156141734,101.028156141734,0,111.809785034737,111.809785034737
"181","-45.5_-23",1,253.568529411765,21.8556261859583,102.320352141715,102.320352141715,0,151.24817727005,151.24817727005
"182","-45.5_-23",2,201.142941176471,21.9796732831063,94.136216657753,94.136216657753,0,107.006724518718,107.006724518718
"183","-45.5_-23",3,183.748529411765,21.0545920303605,91.5037321372812,91.5037321372812,0,92.2447972744835,92.2447972744835
"184","-45.5_-23",4,96.9123529411765,19.4588823529412,71.2456283409886,71.2456283409886,0,25.6667246001878,25.6667246001878
"185","-45.5_-23",5,74.4544117647059,16.9085104364326,52.3645501531405,52.3645501531405,0,22.0898616115654,22.0898616115654
"186","-45.5_-23",6,47.4061764705882,15.7304019607843,41.9502935080532,41.9502935080532,0,5.45588296253503,5.45588296253503
"187","-45.5_-23",7,48.7991176470588,15.4051328273245,41.2135212824363,41.2135212824363,0,7.58559636462252,7.58559636462252
"188","-45.5_-23",8,36.3532352941176,16.9740037950664,51.7252745085356,50.6020598423945,1.12321466614108,0,-1.12321466614108
"189","-45.5_-23",9,111.814117647059,18.5614901960784,63.3307804890944,63.3307804890944,0,34.2345126096876,34.2345126096876
"190","-45.5_-23",10,127.383529411765,20.0729222011385,81.2095194589554,81.2095194589554,0,46.1740099528093,46.1740099528093
"191","-45.5_-23",11,154.344705882353,20.7171078431373,88.2997218290983,88.2997218290983,0,66.0449840532547,66.0449840532547
"192","-45.5_-23",12,212.837941176471,21.413330170778,100.90583114507,100.90583114507,0,111.9321100314,111.9321100314
"193","-45.5_-22.75",1,266.874117647059,20.9087381404175,96.8040719250562,96.8040719250562,0,170.070045722003,170.070045722003
"194","-45.5_-22.75",2,194.870294117647,21.041539408867,89.1203876723716,89.1203876723716,0,105.749906445275,105.749906445275
"195","-45.5_-22.75",3,180.591470588235,20.2461859582543,87.9879013578493,87.9879013578493,0,92.603569230386,92.603569230386
"196","-45.5_-22.75",4,83.1405882352941,18.5758039215686,68.4644978301073,68.4644978301073,0,14.6760904051868,14.6760904051868
"197","-45.5_-22.75",5,67.1811764705882,15.7437855787476,49.1279197152112,49.1279197152112,0,18.0532567553771,18.0532567553771
"198","-45.5_-22.75",6,37.2188235294118,14.3008235294118,38.0844623073368,38.0807264423379,0.00373586499892298,0,-0.00373586499892298
"199","-45.5_-22.75",7,34.4432352941176,13.9543168880455,37.2878197347008,37.223570214417,0.0642495202838305,0,-0.0642495202838305
"200","-45.5_-22.75",8,30.1814705882353,15.4665464895636,46.5872196356092,44.7610524712029,1.82616716440631,0,-1.82616716440631
"201","-45.5_-22.75",9,96.4982352941176,17.3151274509804,58.7354563769515,58.7354563769515,0,19.5409592009731,19.5409592009731
"202","-45.5_-22.75",10,128.127941176471,19.1309772296015,77.3935987724105,77.3935987724105,0,50.7343424040601,50.7343424040601
"203","-45.5_-22.75",11,163.670588235294,19.7958039215686,84.0890069852062,84.0890069852062,0,79.581581250088,79.581581250088
"204","-45.5_-22.75",12,238.978823529412,20.4816508538899,95.742388960021,95.742388960021,0,143.236434569391,143.236434569391
"205","-45.5_-22.5",1,266.874117647059,20.9087381404175,96.6818137340402,96.6818137340402,0,170.192303913019,170.192303913019
"206","-45.5_-22.5",2,194.870294117647,21.041539408867,89.0337919364794,89.0337919364794,0,105.836502181168,105.836502181168
"207","-45.5_-22.5",3,180.591470588235,20.2461859582543,87.9457852788108,87.9457852788108,0,92.6456853094245,92.6456853094245
"208","-45.5_-22.5",4,83.1405882352941,18.5758039215686,68.4788611811002,68.4788611811002,0,14.6617270541939,14.6617270541939
"209","-45.5_-22.5",5,67.1811764705882,15.7437855787476,49.1729868123579,49.1729868123579,0,18.0081896582304,18.0081896582304
"210","-45.5_-22.5",6,37.2188235294118,14.3008235294118,38.1412067735717,38.1369658684752,0.00424090509645936,0,-0.00424090509645936
"211","-45.5_-22.5",7,34.4432352941176,13.9543168880455,37.3476080731148,37.279553790024,0.068054283090845,0,-0.068054283090845
