,lon,lat,year,month,"('prec',)","('temp',)"
821,-61.25,-2.25,1981,6,-0.6309423654162019,-0.20923761434075416
5055,-61.0,-1.5,1994,4,1.582445987453638,-0.5453168322079548
6249,-60.75,-2.5,1991,10,-0.825194245236277,1.1822669601028835
13063,-60.25,-1.75,1981,8,-0.6109856673861581,-0.1324714308823869
8637,-60.5,-2.75,1986,10,0.9393188293296617,0.6574369303363345
84,-61.25,-2.75,1988,1,1.0688869391528606,-0.505335750537366
1413,-61.25,-2.0,1996,10,-0.6409708568885857,0.9165619659285298
4657,-61.0,-1.75,1995,2,-0.5223338027702848,0.6389391896283997
10026,-60.5,-2.0,2000,7,-0.31354061031525315,-1.3268905792226147
8129,-60.75,-1.5,2012,6,-0.47630302691204296,-0.5793132848823827
2989,-61.0,-2.75,1992,2,0.9913667000713339,-0.01698181300946775
9382,-60.5,-2.5,2014,11,-0.8149651839344455,1.8726403922932193
8382,-60.75,-1.25,1999,7,-0.4721913454083656,-1.141085082117258
9042,-60.5,-2.5,1986,7,0.011081658645812146,-0.9552795850118081
1882,-61.25,-1.75,2001,11,-0.9177572215263801,1.3597796205189956
11330,-60.5,-1.25,2007,3,0.6731626656525941,0.11662700115602424
5321,-61.0,-1.25,1982,6,-1.0955623753317458,-0.6634949772190949
2243,-61.25,-1.5,1997,12,-0.8930871325043158,1.1885335873239498
8126,-60.75,-1.5,2012,3,1.250603204632456,-0.9264530997948184
13275,-60.25,-1.75,1999,4,2.416014198638184,-0.86714991752584
8203,-60.75,-1.25,1984,8,-0.2535702313103975,-0.7892139636528375
10298,-60.5,-1.75,1989,3,0.5864162144164737,-1.2184779282977167
12293,-60.25,-2.25,1985,6,0.5888230523698459,-1.859198784139682
15980,-60.0,-1.75,1986,9,-0.17023346717488771,-0.3274157593518943
10718,-60.5,-1.5,1990,3,1.4052425431366151,-0.8374669932553107
1099,-61.25,-2.25,2004,8,-0.5928340978211434,1.0024147588575043
6823,-60.75,-2.25,2005,8,-1.6283761272594997,3.4241528484487596
10198,-60.5,-2.0,2014,11,-0.9852489691355234,1.1710183642410137
11995,-60.25,-2.5,1994,8,-0.47279305489670864,-0.6977212062249779
15608,-60.0,-2.0,1989,9,-0.6805833982045021,-0.13347409123774423
7760,-60.75,-1.5,1981,9,-0.9434301596956827,-0.37954365345261964
13631,-60.25,-1.5,1994,12,-0.6451828233069871,0.3306323207563759
13440,-60.25,-1.75,2013,1,-0.7721435253473665,1.1111407411434946
7902,-60.75,-1.5,1993,7,-0.696127559986697,-0.8697401234439225
10155,-60.5,-2.0,2011,4,2.3058010773566853,-0.6518390505878621
12699,-60.25,-2.0,1985,4,-0.45494234007586537,-0.6252894399277692
5633,-61.0,-1.25,2008,6,-0.17254002021353618,-0.87751074119808
4228,-61.0,-2.0,1993,5,0.3011056320271533,0.06743397747046728
14412,-60.0,-2.75,1992,1,-0.6041662931849371,0.7968693860056718
233,-61.25,-2.75,2000,6,0.00927653018078327,-0.8690925719643777
14544,-60.0,-2.75,2003,1,-1.1145162242145512,0.9200086109001552
4821,-61.0,-1.75,2008,10,-0.13042035602952384,0.01824095378491032
10529,-60.5,-1.75,2008,6,-0.059418636405046334,-0.9998979708260178
4311,-61.0,-2.0,2000,4,1.6676881649689008,-0.44980298897983556
4798,-61.0,-1.75,2006,11,1.0287729732633253,0.30265183021419906
