"","station","month","prec","temp","etp","etr","def","exc","wb"
"22","-61.25_-2.5",10,135.792058823529,27.1869924098672,153.119301113691,142.080901274874,11.0383998388172,0,-11.0383998388172
"23","-61.25_-2.5",11,169.983529411765,26.6757941176471,139.202306823638,139.202306823638,0,0,0
"24","-61.25_-2.5",12,226.765588235294,26.0899810246679,133.321319876133,133.321319876133,0,57.4663687329816,57.4663687329816
"25","-61.25_-2.25",1,229.627941176471,26.2767362428843,131.210814658295,131.210814658295,0,98.4171265181759,98.4171265181759
"26","-61.25_-2.25",2,242.081176470588,26.186354679803,120.58104544278,120.58104544278,0,121.500131027808,121.500131027808
"27","-61.25_-2.25",3,268.833235294118,26.3068880455408,135.250983755926,135.250983755926,0,133.582251538192,133.582251538192
"28","-61.25_-2.25",4,323.722352941176,26.1786274509804,127.821585878822,127.821585878822,0,195.900767062354,195.900767062354
"29","-61.25_-2.25",5,280.443823529412,26.1158633776091,130.253363715534,130.253363715534,0,150.190459813878,150.190459813878
"30","-61.25_-2.25",6,184.081470588235,25.9804803921569,123.178946627015,123.178946627015,0,60.9025239612201,60.9025239612201
"31","-61.25_-2.25",7,131.154705882353,25.9834914611006,127.255532209541,127.255532209541,0,3.89917367281183,3.89917367281183
"32","-61.25_-2.25",8,109.448823529412,26.9040417457305,145.358356610304,139.618045736109,5.7403108741951,0,-5.7403108741951
"33","-61.25_-2.25",9,124.008529411765,27.4191568627451,151.739512265977,140.920170461332,10.8193418046448,0,-10.8193418046448
"34","-61.25_-2.25",10,137.950882352941,27.5438045540797,160.322891227322,148.559110557469,11.7637806698531,0,-11.7637806698531
"35","-61.25_-2.25",11,169.046470588235,27.0821568627451,146.363314255577,146.363314255577,0,0,0
"36","-61.25_-2.25",12,205.01,26.5807020872865,141.481968877252,141.481968877252,0,28.5220959946133,28.5220959946133
"37","-61.25_-2",1,229.627941176471,26.2767362428843,131.057414101154,131.057414101154,0,98.5705270753162,98.5705270753162
"38","-61.25_-2",2,242.081176470588,26.186354679803,120.474320419291,120.474320419291,0,121.606856051297,121.606856051297
"39","-61.25_-2",3,268.833235294118,26.3068880455408,135.193833136736,135.193833136736,0,133.639402157381,133.639402157381
