,Yobs,Yest,prec,et_obs,et_est,year,month
1735,130.776325135155,122.77395146521894,133.22,130.776325135155,122.77395146521894,2019,8
1736,130.250439430587,122.84873654235322,131.21,130.250439430587,122.84873654235322,2019,9
1737,130.977445790304,122.94942410057298,100.62,130.977445790304,122.94942410057298,2019,10
1738,129.029172167805,122.45667208345833,119.74,129.029172167805,122.45667208345833,2019,11
1739,130.252956564873,122.79901678461789,141.72,130.252956564873,122.79901678461789,2019,12
1740,133.24100842076,122.10540103866929,75.6,133.24100842076,122.10540103866929,2020,1
1741,139.747093419794,129.67124508499785,39.35,139.747093419794,129.67124508499785,2020,2
1742,163.016623106385,141.60217260370538,172.78,163.016623106385,141.60217260370538,2020,3
1743,121.993667348008,116.54812838122162,442.51,121.993667348008,116.54812838122162,2020,4
1744,126.19635800561,118.72954648662105,493.16,126.19635800561,118.72954648662105,2020,5
1745,116.579341905852,112.36323890801675,205.01,116.579341905852,112.36323890801675,2020,6
1746,123.847249303817,118.25239495309532,113.84,123.847249303817,118.25239495309532,2020,7
1747,136.713353985074,126.32418284221771,128.4,136.713353985074,126.32418284221771,2020,8
1748,133.521146781779,125.6880180936758,139.18,133.521146781779,125.6880180936758,2020,9
1749,131.918677925685,123.35651217754213,142.7,131.918677925685,123.35651217754213,2020,10
1750,129.664461144392,122.36625887975723,221.33,129.664461144392,122.36625887975723,2020,11
1751,126.097321282695,118.41663444206013,200.96,126.097321282695,118.41663444206013,2020,12
1752,120.883322655744,113.72920804445057,239.27,120.883322655744,113.72920804445057,2021,1
1753,117.990898691266,112.69335749786168,91.89,117.990898691266,112.69335749786168,2021,2
1754,119.177845626188,114.89726377166552,216.46,119.177845626188,114.89726377166552,2021,3
1755,116.966270872621,113.10789604611921,331.15,116.966270872621,113.10789604611921,2021,4
1756,121.718346981594,114.58665252345247,432.26,121.718346981594,114.58665252345247,2021,5
1757,116.34649417135,111.4228380402451,339.85,116.34649417135,111.4228380402451,2021,6
1758,120.162148998788,112.84648679368411,225.88,120.162148998788,112.84648679368411,2021,7
1759,128.750355717299,121.02958899675576,139.91,128.750355717299,121.02958899675576,2021,8
1760,125.94647382893,120.63097383541985,179.85,125.94647382893,120.63097383541985,2021,9
1761,135.630216927062,123.36788972916854,214.42,135.630216927062,123.36788972916854,2021,10
1762,128.472363263,121.08740381966695,181.84,128.472363263,121.08740381966695,2021,11
1763,130.003029145824,121.26582049856994,251.02,130.003029145824,121.26582049856994,2021,12
1764,122.525995921415,120.86916943788167,210.55,122.525995921415,120.86916943788167,2015,1
1765,119.028360059818,117.06043265094998,139.72,119.028360059818,117.06043265094998,2015,2
1766,125.619271721213,123.09303566483503,215.46,125.619271721213,123.09303566483503,2015,3
1767,124.282899021754,123.27275545251713,132.07,124.282899021754,123.27275545251713,2015,4
1768,130.040613699068,125.89239279272586,127.11,130.040613699068,125.89239279272586,2015,5
1769,128.240606154546,124.4623696536499,67.59,128.240606154546,124.4623696536499,2015,6
1770,167.0427707387,144.09350411334032,56.74,167.0427707387,144.09350411334032,2015,7
1771,241.720184402201,184.00185190989362,19.54,241.720184402201,184.00185190989362,2015,8
1772,330.770114124159,223.6175907889539,14.25,330.770114124159,223.6175907889539,2015,9
1773,356.052217723651,228.70067761035492,39.73,356.052217723651,228.70067761035492,2015,10
1774,240.346826218676,182.33491115172131,113.46,240.346826218676,182.33491115172131,2015,11
1775,252.413170433626,184.76847082540328,67.55,252.413170433626,184.76847082540328,2015,12
1776,239.193242101216,170.77518296572407,89.52,239.193242101216,170.77518296572407,2016,1
1777,164.013908854781,143.01576074838883,213.34,164.013908854781,143.01576074838883,2016,2
1778,150.497062559477,136.76026538931072,259.6,150.497062559477,136.76026538931072,2016,3
1779,139.010673503187,128.82575054137746,165.26,139.010673503187,128.82575054137746,2016,4
1780,140.648890631187,129.18456796074437,168.01,140.648890631187,129.18456796074437,2016,5
1781,127.736822735767,122.93797841903492,80.09,127.736822735767,122.93797841903492,2016,6
1782,155.554793878971,137.9867213523291,78.06,155.554793878971,137.9867213523291,2016,7
1783,194.575476291001,157.27722978334234,53.18,194.575476291001,157.27722978334234,2016,8
1784,198.378903056886,164.37208312961286,70.77,198.378903056886,164.37208312961286,2016,9
1785,230.641668680531,178.5852982860758,82.54,230.641668680531,178.5852982860758,2016,10
1786,227.505736890064,178.98188341329683,60.77,227.505736890064,178.98188341329683,2016,11
1787,144.671751297058,132.72062434904348,274.82,144.671751297058,132.72062434904348,2016,12
1788,126.602719511514,119.48904668416397,231.7,126.602719511514,119.48904668416397,2017,1
1789,118.67004403263,112.26169887830336,231.81,118.67004403263,112.26169887830336,2017,2
1790,132.635164909219,124.02364677698088,254.54,132.635164909219,124.02364677698088,2017,3
1791,127.812168991333,121.42812356995425,260.82,127.812168991333,121.42812356995425,2017,4
1792,145.241366286871,128.62601461388155,97.09,145.241366286871,128.62601461388155,2017,5
1793,131.886856716829,123.16620238941483,92.49,131.886856716829,123.16620238941483,2017,6
1794,133.931856768093,125.19101732590603,53.53,133.931856768093,125.19101732590603,2017,7
1795,196.00408426476,158.6361634265384,49.34,196.00408426476,158.6361634265384,2017,8
1796,194.511069782063,163.66612767993504,123.77,194.511069782063,163.66612767993504,2017,9
1797,183.670597223603,155.22093419509284,108.77,183.670597223603,155.22093419509284,2017,10
