,etp
10298,113.423232929431
12293,99.9616210934224
15980,122.880795045199
10718,118.330272755617
1099,149.226017688008
6823,212.243725280886
10198,150.073514172618
11995,119.837610626321
15608,126.318320984866
7760,121.772420853676
13631,139.190015400277
13440,149.566452678636
7902,117.182640214377
10155,115.515685000298
12699,118.99734143781
5633,113.210026935724
4228,131.518523259497
14412,143.866114532637
233,112.26682726654
14544,146.518443462294
4821,132.891132110023
10529,111.361138139547
4311,118.896840525944
4798,132.369667299965
14443,119.727100511653
8435,137.151156049446
8160,112.607828957781
287,137.720144623315
6873,206.670868879153
11889,127.438008499262
2313,140.085352770814
14512,116.990792668047
2302,142.785158573776
10140,132.711587847509
5812,120.342810918413
11287,125.23386854664
9406,132.261196602124
10973,118.070458497064
5395,128.735620232403
16920,104.500368828775
10564,124.311997498705
11894,113.882418659973
4180,118.067830824084
5304,115.122327453198
14529,172.719260864575
3485,118.937146507084
9975,120.895036939703
8913,217.775585510635
16321,104.157304912889
15204,114.911642461089
16686,123.896811888567
15106,133.954199257999
14661,174.619367794335
582,121.382337021484
4219,143.24238420967
13958,126.474326366094
8562,123.063448356145
16943,122.600760246915
11697,141.061439136823
13393,105.046215909748
377,118.767575632528
3648,148.781449505269
16711,127.744275552613
10792,117.29850619169
9496,125.68355702683
5702,123.883835931324
5054,124.951547707916
8520,114.05353094872
3618,127.275527176374
14460,115.282570844891
14318,119.967493565559
9880,122.294577293054
2140,114.653400037374
5669,118.031985832554
10150,143.396781122476
2443,133.783401580849
545,120.932305431812
13079,138.166996891993
5722,148.365640090835
16073,110.636923926056
1374,128.527885254494
13083,126.631604950164
476,128.228735194669
5004,118.598256770003
10606,131.256053707391
15706,160.653103389335
11224,128.396192114467
13940,114.124074554848
2764,126.438225707197
1755,118.468289669203
695,137.567349848754
4337,122.632637024562
14351,120.986782083391
6273,142.93817829539
8109,150.90009535412
15778,131.868642667094
8254,117.821971118372
1525,125.281943292516
7562,120.535293197399
6908,155.469242837391
1042,146.911751836554
7962,123.219441652414
12360,115.692221876207
5670,124.591277176633
12570,116.628339517967
9532,125.61969083062
8264,122.449350125141
13787,113.255147147161
9271,205.553406312134
13230,119.037054078701
4015,150.459868279189
4336,135.37711970672
9052,129.159909698269
3941,123.445868159061
3642,122.25183731027
16904,129.208131062154
17128,119.665380608963
11277,134.680949274776
13794,121.19647219081
15488,125.476768146606
7223,146.211252764986
6909,183.833451824822
8983,149.422294119231
6999,118.997803978099
15827,111.012137203094
10709,110.846613579194
12845,110.415169484701
1616,166.598680384843
11381,116.180809489805
1235,133.011255559603
2492,114.881889622473
8543,127.946509549403
1447,140.116830867871
9829,102.880573678774
2400,117.476369809817
4777,144.075775819553
5507,162.695492264343
6257,127.811193741234
5369,107.718450768886
2615,130.619433054877
14844,117.145392519336
13409,122.925038425446
10555,130.668368618563
14303,128.335552866728
7404,108.569707999066
2676,112.947601838396
11689,124.500729111679
4599,125.643311046591
9990,132.036416726531
6359,141.940727361498
7434,112.931263380664
14979,121.451009696329
980,145.227486653425
15148,113.102207053042
12713,104.294370369355
7843,125.662645131598
2296,126.129210126369
15623,124.123428697518
13014,117.831080184438
1263,122.436821102479
12378,111.011484654443
8540,124.762313816906
8505,165.287808424708
566,122.796113992787
13273,109.236664269138
1218,136.238941365959
14977,117.210873934783
4079,156.607219472002
6537,148.412559751444
5167,129.042979279024
1921,144.075775819553
2131,132.348811358261
6246,120.3775873421
9807,113.69264670945
13327,129.575037958494
9660,136.394134127166
1221,166.978961934586
179,133.184892072729
5015,127.91708777562
7966,133.177904771545
5243,153.066324178429
8962,136.969099879775
14769,150.623647489105
1958,117.889563107956
6126,118.987319610186
14196,112.688241010011
5687,134.606715122578
15964,117.756916339471
5868,126.709490818327
12678,129.529319091418
16139,128.627958424222
5881,125.766385727927
12707,111.913974255389
3258,126.755253494134
6230,129.166025284044
2770,139.948491198769
5818,142.726198156771
15198,104.892652069729
5459,125.331594429542
11662,127.620722028447
7205,115.125612145438
6398,134.840957549062
16884,112.150184282341
14401,111.769278205343
16612,161.929406680415
15528,148.424335043563
6170,133.070205631454
16356,106.271155030489
16470,119.779406283076
6150,151.236919073451
6838,139.355263325904
15455,127.469721759402
10184,145.858954848184
15122,135.820099184258
1968,114.197169289317
12062,113.358982529134
6238,163.415737625035
4829,110.058567716522
4772,132.425973012444
16912,113.803374966517
16992,142.562740210746
15225,135.96568554411
7668,115.271171965443
